,page,field,events,date
647,/bankdetails/index,AccountHolderName,5,2020-05-30
648,/personaldetails/index,email,5,2020-05-30
649,/personaldetails/index,address_country,4,2020-05-30
650,/personaldetails/index,title,4,2020-05-30
653,/personaldetails/index,address_postcode,2,2020-05-30
654,/personaldetails/index,surname,2,2020-05-30
657,/bankdetails/index,BankName,1,2020-05-30
659,/personaldetails/index,address_1,14,2020-05-31
660,/personaldetails/index,address_town,13,2020-05-31
661,/confirmdetails/index,title,11,2020-05-31
662,/personaldetails/index,address_country,10,2020-05-31
663,/personaldetails/index,first-name,10,2020-05-31
664,/personaldetails/index,card_name,8,2020-05-31
665,/personaldetails/index,email,8,2020-05-31
667,/bankdetails/index,DirectDebitStartMonth,5,2020-05-31
668,/bankdetails/index,DirectDebitStartYear,5,2020-05-31
669,/personaldetails/index,address_postcode,5,2020-05-31
